No,Date,Type of Event,Event
1,12-03-2010,Political,Russia signs nuclear reactor deal with India
2,01-04-2010,Legislative,India starts Right of Children to Free and Compulsory Education Act
3,21-03-2013,Legislative,"Rajya Sabha passes Criminal Law (Amendment) Act, 2013"
4,26-08-2013,Legislative,"Lok Sabha passes the National Food Security Bill, 2013"
5,10-09-2013,Legislative,"National Food Security Act, 2013"
6,12-12-2013,Political,Diplomat Devyani Khobragade arrested in New York
7,20-02-2014,Political,"Andhra Pradesh Reorganization Bill, 2014 passed"
8,15-04-2014,Legislative,Supreme Court recognizes transgender as third gender
9,06-05-2014,Political,Narendra Modi elected as Prime Minister
10,09-05-2014,Legislative,"Whistleblower Protection Act, 2104"
11,09-01-2015,Legislative,Overseas Citizenship of India and Person of India Origin merged
12,10-02-2015,Political,Delhi Assembly Elections - Aam Aadmi Party wins
13,24-03-2015,Legislative,Supreme Court declares 66A of I&T Act as unconstitutional
14,16-10-2015,Legislative,TRAI mandates operators pay Rs. 1 for every dropped call
15,28-09-2016,Political,India Surgical Strike on Pakistan
16,08-11-2016,Political,Demonetization
17,25-01-2017,Political,UAE Crown Prince signs 14 agreements with India
18,11-03-2017,Political,"Election results of CH, Goa, Manipur, Punjab & UP announced."
19,20-07-2017,Political,Ram Nath Kovind won Presidential Elections
20,01-07-2017,Legislative,Goods and Services Act came into force
21,06-09-2018,Legislative,Decriminalization of 377A of Indian Penal Code by SC
22,14-02-2019,Political,Pulwama Attack: attack by suicide bomber
23,22-07-2019,Legislative,"Right to Information (Amendment) Act, 2019 passed"
24,05-08-2019,Legislative,Revocation of Article 370 and 35A from Constitution 
25,11-12-2019,Legislative,"Citizenship (Amendment) Act, 2019 passed in Parliament"
26,24-03-2020,Political,Prime Minister announces first 21-day lockdown
27,05-05-2020,Political,Skirmishes between India and China
28,29-07-2020,Legislative,National Education Policy approved by Cabinet
29,15-11-2020,Political,India opted out from RCEP at ASEAN Summit
30,02-01-2021,Political,India approves two coronavirus vaccines
31,19-11-2021,Legislative,Repealing of Farm Bills previously passed
32,28-01-2022,Political,BrahMos deal between India and Phillipines
33,08-06-2022,Political,India signs mutual logistics agreement with Vietnam
34,18-07-2022,Political,Presidential Elections 2022 results announced - Draupadi Murmur
